Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number
EXP_0302,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2
EXP_0337,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],7
EXP_0451,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],1
EXP_0323,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],23
EXP_0311,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],11
EXP_0050,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],20
EXP_0345,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],15
EXP_0026,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],26
EXP_0443,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],23
EXP_0221,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],11
EXP_0484,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],4
EXP_0541,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],1
EXP_0043,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],13
EXP_0417,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],27
EXP_0262,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],22
EXP_0409,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],19
EXP_0278,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],8
EXP_0570,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],30
EXP_0382,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],22
EXP_0412,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],22
EXP_0155,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],5
EXP_0127,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],7
EXP_0310,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],10
EXP_0520,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],10
EXP_0446,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],26
EXP_0175,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],25
EXP_0032,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],2
EXP_0114,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],24
EXP_0024,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],24
EXP_0174,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],24
EXP_0558,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],18
EXP_0067,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7
EXP_0058,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],28
EXP_0322,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],22
EXP_0223,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],13
EXP_0018,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],18
EXP_0300,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],30
EXP_0256,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],16
EXP_0306,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],6
EXP_0574,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],4
EXP_0191,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],11
