Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number,Executed_Governor,Time_sec,Temp°C,Timestamp
EXP_0489,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9,performance,4.146483659744263,49.0,2025-11-26T14:48:05.566160
EXP_0377,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],17,performance,1.0956676006317139,47.0,2025-11-26T14:48:17.235518
EXP_0385,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],25,performance,1.0937724113464355,48.0,2025-11-26T14:48:28.835956
EXP_0225,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],15,performance,0.10640239715576172,43.0,2025-11-26T14:48:39.167189
EXP_0568,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],28,performance,5.450481653213501,47.0,2025-11-26T14:48:55.903461
EXP_0457,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],7,performance,4.710601329803467,45.0,2025-11-26T14:49:11.427523
EXP_0348,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],18,performance,0.771320104598999,46.0,2025-11-26T14:49:22.669156
EXP_0128,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],8,performance,0.09740781784057617,44.0,2025-11-26T14:49:33.003264
EXP_0591,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],21,performance,5.973775386810303,47.0,2025-11-26T14:49:49.770427
EXP_0286,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],16,performance,0.6706798076629639,54.0,2025-11-26T14:50:00.888687
EXP_0554,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],14,performance,5.478923082351685,47.0,2025-11-26T14:50:17.149801
EXP_0044,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],14,performance,0.023116588592529297,46.0,2025-11-26T14:50:27.354392
EXP_0108,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],18,performance,0.03133893013000488,43.0,2025-11-26T14:50:37.565535
EXP_0565,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],25,performance,15.385996580123901,46.0,2025-11-26T14:51:04.230919
EXP_0445,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],25,performance,2.6512200832366943,48.0,2025-11-26T14:51:17.682849
EXP_0134,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],14,performance,0.09803509712219238,45.0,2025-11-26T14:51:28.008286
EXP_0496,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],16,performance,2.536646842956543,51.0,2025-11-26T14:51:41.405233
EXP_0045,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],15,performance,0.016417264938354492,44.0,2025-11-26T14:51:51.599765
EXP_0170,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],20,performance,0.07268357276916504,44.0,2025-11-26T14:52:01.867730
EXP_0066,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],6,performance,0.02287149429321289,42.0,2025-11-26T14:52:12.070599
EXP_0284,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],14,performance,0.6616995334625244,45.0,2025-11-26T14:52:23.175668
EXP_0086,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],26,performance,0.023210763931274414,42.0,2025-11-26T14:52:33.356254
EXP_0243,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],3,performance,0.7193000316619873,43.0,2025-11-26T14:52:44.512268
EXP_0187,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7,performance,0.10567545890808105,42.0,2025-11-26T14:52:54.842005
EXP_0327,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],27,performance,0.7976593971252441,43.0,2025-11-26T14:53:06.071231
EXP_0160,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],10,performance,0.0958096981048584,42.0,2025-11-26T14:53:16.389629
EXP_0013,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],13,performance,0.016925334930419922,40.0,2025-11-26T14:53:26.569663
EXP_0036,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],6,performance,0.021136999130249023,41.0,2025-11-26T14:53:36.756526
EXP_0029,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],29,performance,0.023631572723388672,39.0,2025-11-26T14:53:46.943433
EXP_0171,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],21,performance,0.10084319114685059,41.0,2025-11-26T14:53:57.233546
EXP_0143,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],23,performance,0.10434246063232422,40.0,2025-11-26T14:54:07.535377
EXP_0237,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],27,performance,0.11145281791687012,39.0,2025-11-26T14:54:17.838570
EXP_0464,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],14,performance,4.706538438796997,41.0,2025-11-26T14:54:33.334219
EXP_0497,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],17,performance,5.573631048202515,42.0,2025-11-26T14:54:50.150141
EXP_0222,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],12,performance,0.10666513442993164,40.0,2025-11-26T14:55:00.485178
EXP_0545,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],5,performance,5.348918676376343,46.0,2025-11-26T14:55:17.123146
EXP_0096,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],6,performance,0.03905129432678223,41.0,2025-11-26T14:55:27.369958
EXP_0052,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],22,performance,0.018456459045410156,40.0,2025-11-26T14:55:37.559484
EXP_0241,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],1,performance,0.527724027633667,42.0,2025-11-26T14:55:48.405387
EXP_0508,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],28,performance,2.534736394882202,49.0,2025-11-26T14:56:01.712721
EXP_0352,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],22,performance,0.7825934886932373,43.0,2025-11-26T14:56:12.828916
EXP_0517,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],7,performance,5.254331588745117,47.0,2025-11-26T14:56:29.360458
EXP_0179,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],29,performance,0.0980536937713623,43.0,2025-11-26T14:56:39.657508
EXP_0461,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],11,performance,2.578770160675049,45.0,2025-11-26T14:56:52.769034
EXP_0527,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],17,performance,5.592155456542969,50.0,2025-11-26T14:57:09.646753
EXP_0042,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],12,performance,0.019426822662353516,45.0,2025-11-26T14:57:19.834404
EXP_0555,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],15,performance,5.7080230712890625,48.0,2025-11-26T14:57:36.343543
EXP_0523,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],13,performance,5.608994960784912,49.0,2025-11-26T14:57:53.220613
EXP_0207,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],27,performance,0.10294651985168457,46.0,2025-11-26T14:58:03.550305
EXP_0393,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],3,performance,2.3974130153656006,49.0,2025-11-26T14:58:16.736692
EXP_0283,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],13,performance,0.7161884307861328,47.0,2025-11-26T14:58:27.773843
EXP_0359,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],29,performance,2.045300245285034,47.0,2025-11-26T14:58:40.152244
EXP_0398,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],8,performance,2.3975653648376465,48.0,2025-11-26T14:58:53.341294
EXP_0255,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],15,performance,0.5301659107208252,46.0,2025-11-26T14:59:04.188584
EXP_0218,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],8,performance,0.10783600807189941,43.0,2025-11-26T14:59:14.515518
EXP_0005,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],5,performance,0.017383098602294922,43.0,2025-11-26T14:59:24.714220
EXP_0257,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],17,performance,0.3399171829223633,45.0,2025-11-26T14:59:35.387151
EXP_0564,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],24,performance,5.56600022315979,45.0,2025-11-26T14:59:51.726300
EXP_0534,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],24,performance,5.207329988479614,47.0,2025-11-26T15:00:08.206329
EXP_0431,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],11,performance,2.3543267250061035,47.0,2025-11-26T15:00:21.092460
EXP_0101,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],11,performance,0.04320573806762695,44.0,2025-11-26T15:00:31.338809
EXP_0227,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],17,performance,0.261399507522583,44.0,2025-11-26T15:00:41.845852
